상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
카페율콩,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 동일로30길 38,127.0693636,37.54741184
엄마손만나식당,음식,한식,백반/한정식,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 자양로15길 93,127.0785404,37.5346348
옵션,음식,서양식,경양식,서울특별시,광진구,화양동,화양동,서울특별시 광진구 광나루로24길 6,127.0760019,37.54595921
이랜드이츠스테이크어스,음식,서양식,파스타/스테이크,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로 229,127.0689935,37.54077718
왕십리곱창,음식,한식,곱창 전골/구이,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 긴고랑로 115,127.0879141,37.55929728
짜장짬뽕의달인,음식,중식,중국집,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 뚝섬로 590,127.0752889,37.53313166
사사로운,음식,서양식,경양식,서울특별시,광진구,능동,능동,서울특별시 광진구 천호대로112길 48-4,127.0803703,37.55422892
강진식당,음식,한식,백반/한정식,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 뚝섬로 652-1,127.0820099,37.53128287
시시때때로,음식,비알코올 ,카페,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 능동로51길 19,127.0828968,37.56602529
봉쉐프참치포차,음식,한식,횟집,서울특별시,광진구,군자동,군자동,서울특별시 광진구 광나루로 361,127.0697245,37.54842386
본죽,음식,한식,백반/한정식,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 면목로 133,127.0807883,37.56535113
고공,음식,한식,돼지고기 구이/찜,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로18길 37,127.0855376,37.53796002
코끼리식당,음식,한식,백반/한정식,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 강변역로4길 34,127.0922149,37.53412799
호식이두마리치킨구의,음식,기타 간이,치킨,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로 243,127.0885576,37.5482824
백제추어탕군자역점,음식,한식,국/탕/찌개류,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 천호대로 569,127.0814713,37.55674241
빙츄르,음식,비알코올 ,카페,서울특별시,광진구,군자동,군자동,서울특별시 광진구 광나루로 369,127.0710369,37.54845221
만원수산,음식,한식,횟집,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로31길 27,127.0696203,37.54224183
대광,음식,비알코올 ,카페,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 긴고랑로 5,127.0771576,37.56419649
청와옥군자역,음식,한식,백반/한정식,서울특별시,광진구,능동,능동,서울특별시 광진구 천호대로 562,127.0803426,37.55648133
