상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
영자's곱창,음식,한식,곱창 전골/구이,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 면목로 172,127.0828324,37.56850268
썬더치킨,음식,기타 간이,치킨,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자로 127,127.073598,37.55366238
러슬,음식,비알코올 ,카페,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로37길 63,127.0855434,37.54860149
설레임,음식,한식,돼지고기 구이/찜,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로31길 30,127.0699372,37.54223531
오사이초밥,음식,일식,일식 회/초밥,서울특별시,광진구,화양동,화양동,서울특별시 광진구 군자로 14,127.0715027,37.54466245
인디고플레이스,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로 154,127.0730884,37.54454876
남수푸드,음식,한식,횟집,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 광나루로37길 8,127.0876546,37.54530195
닛코리,음식,일식,일식 회/초밥,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 아차산로 200,127.065652,37.54104814
요거트월드,음식,기타 간이,아이스크림/빙수,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 자양번영로13길 3,127.0767073,37.53739573
열린밥상,음식,한식,백반/한정식,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로 247,127.0888248,37.54864488
다모아호프,음식,주점,요리 주점,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 뚝섬로 476,127.0631632,37.5364691
로프커피,음식,비알코올 ,카페,서울특별시,광진구,군자동,군자동,서울특별시 광진구 동일로 304,127.073462,37.55824766
레스티오도서관점,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로 120,127.0746953,37.53905594
용정성일초두부,음식,한식,백반/한정식,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 아차산로26길 42,127.0653198,37.53955877
에스씨푸드,음식,한식,백반/한정식,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로13길 69,127.0690464,37.54471519
팔자좀피자,음식,기타 간이,피자,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 뚝섬로 509-1,127.0670074,37.53579671
미각의발견,음식,한식,돼지고기 구이/찜,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로50길 37,127.0943022,37.55239034
비바체,음식,비알코올 ,카페,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 광나루로52길 11,127.0947895,37.54110389
신사동,음식,주점,요리 주점,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 답십리로 372,127.0818117,37.57142315
산과바다,음식,한식,횟집,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로 322,127.0940347,37.55392008
온도계,음식,한식,돼지고기 구이/찜,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 자양로43길 60,127.0900929,37.55325002
장수카페,음식,비알코올 ,카페,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자로 140,127.0749954,37.55414188
풍년상회,음식,한식,돼지고기 구이/찜,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로53길 53,127.0856082,37.53959147
브라운파스타,음식,서양식,파스타/스테이크,서울특별시,광진구,화양동,화양동,서울특별시 광진구 동일로 158,127.066572,37.54621844
맘스터치군자역점,음식,기타 간이,버거,서울특별시,광진구,능동,능동,서울특별시 광진구 능동로 300,127.0794263,37.55644716
동대문엽기떡볶이,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 자양로 109,127.0830777,37.53740031
에그허그,음식,비알코올 ,카페,서울특별시,광진구,광장동,광장동,서울특별시 광진구 천호대로143길 8-5,127.1032625,37.54604324
지금이밤,음식,주점,요리 주점,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 능동로 27,127.0675179,37.53387249
동방생고기,음식,한식,돼지고기 구이/찜,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로31길 28,127.0698704,37.54214468
온더코너,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로21길 44,127.0659119,37.5437984
내가닭도리탕이다,음식,한식,백반/한정식,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 뚝섬로55길 10,127.0825335,37.53194471
수심,음식,일식,일식 회/초밥,서울특별시,광진구,군자동,군자동,서울특별시 광진구 면목로 33-4,127.0762128,37.55729608
박과장의조은회사,음식,일식,일식 회/초밥,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 아차산로 345,127.0814356,37.5375137
그리네,음식,기타 간이,빵/도넛,서울특별시,광진구,화양동,화양동,서울특별시 광진구 동일로22길 117-7,127.0705411,37.54098761
래빗홀버거컴퍼니,음식,기타 간이,버거,서울특별시,광진구,화양동,화양동,서울특별시 광진구 광나루로 424,127.0765102,37.54603528
힐,음식,비알코올 ,카페,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 뚝섬로66길 7,127.0903086,37.53363577
마우로아,음식,서양식,경양식,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 능동로 320,127.0802879,37.55817488
현대인의손맛,음식,한식,백반/한정식,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로 206-1,127.0861456,37.54562367
줄리앤몰리,음식,비알코올 ,카페,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 뚝섬로59길 67,127.0830639,37.5348322
왕십리포차,음식,주점,일반 유흥 주점,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로50길 6,127.0925883,37.55186358
선주카페,음식,비알코올 ,카페,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 강변북로 2230,127.0678009,37.52840533
피자샵자양,음식,기타 간이,피자,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 아차산로 334-1,127.0798328,37.53719486
수포차,음식,주점,일반 유흥 주점,서울특별시,광진구,능동,능동,서울특별시 광진구 능동로36길 55,127.0821217,37.55538689
광수육회,음식,한식,소고기 구이/찜,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 면목로13길 3,127.0824671,37.56875213
뽀빠이우렁추어탕,음식,한식,국/탕/찌개류,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 자양번영로 12,127.0751943,37.5307161
오늘도좋은날,음식,주점,요리 주점,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 동일로70길 47,127.0795594,37.56402602
리하이,음식,중식,중국집,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 아차산로 444,127.0919351,37.53854101
커피에반하다강변역점,음식,비알코올 ,카페,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 광나루로56길 29,127.0965143,37.53695423
이삭,음식,기타 간이,피자,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 자양로3길 59,127.0834565,37.52956408
사거리식당,음식,주점,요리 주점,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로33길 43,127.0706051,37.54221354
콴차이,음식,중식,중국집,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로18길 17,127.0844766,37.53774455
함루,음식,일식,일식 회/초밥,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 능동로 90,127.070902,37.53835036
딥247,음식,주점,일반 유흥 주점,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로18길 53,127.0863723,37.53817372
몬스터테이블,음식,주점,요리 주점,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 답십리로 382,127.0828547,37.57130511
강릉집,음식,한식,백반/한정식,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 영화사로 5-3,127.0884775,37.55858079
불향쭈꾸미&낙지,음식,한식,백반/한정식,서울특별시,광진구,군자동,군자동,서울특별시 광진구 광나루로 361,127.0697245,37.54842386
용용선생1호점;2호점,음식,주점,요리 주점,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로33길 25,127.0702523,37.54146289
엉터리생고기두번째이야기,음식,한식,돼지고기 구이/찜,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 아차산로 218,127.0673754,37.54077342
카레시대,음식,한식,백반/한정식,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 아차산로41길 44,127.0773937,37.53862652
소풍,음식,한식,백반/한정식,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로45길 13,127.0912079,37.55183495
정담은코다리동태탕,음식,한식,백반/한정식,서울특별시,광진구,광장동,광장동,서울특별시 광진구 천호대로143길 12,127.1030694,37.54610485
작은성,음식,주점,요리 주점,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 면목로 113-1,127.0799573,37.56388496
이디야커피건대스타시티,음식,비알코올 ,카페,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 능동로 92,127.0711996,37.53899245
곽홍백외식연구소식당,음식,한식,백반/한정식,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 면목로 92,127.079212,37.56190585
세종김밥떡볶이,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,군자동,군자동,서울특별시 광진구 광나루로 375-1,127.071731,37.54815131
안녕가비,음식,비알코올 ,카페,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 능동로53길 41,127.0821946,37.56697495
캘리스코타코벨건대스타시티점,음식,서양식,기타 서양식 음식점,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 아차산로 262,127.0729442,37.53699681
카페미뇽,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로29길 12,127.0684197,37.54142141
자양동녹두빈대떡,음식,한식,전/부침개,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 뚝섬로 626,127.0790929,37.53202606
레모니아,음식,기타 간이,빵/도넛,서울특별시,광진구,광장동,광장동,서울특별시 광진구 광장로 75-1,127.1055611,37.54782674
제일팜,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로13길 75,127.0688746,37.54487603
바스타,음식,주점,요리 주점,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로33길 14,127.0702025,37.54092187
산울림라이브,음식,한식,백반/한정식,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 면목로 195,127.0830569,37.57050475
코카인,음식,기타 간이,그 외 기타 간이 음식점,서울특별시,광진구,군자동,군자동,서울특별시 광진구 면목로1길 28,127.074045,37.55503548
별난만두,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로29길 44,127.0690942,37.54268821
한갑루짬뽕,음식,중식,중국집,서울특별시,광진구,화양동,화양동,서울특별시 광진구 동일로 112,127.0644679,37.54253451
속리산흑염소,음식,한식,기타 한식 음식점,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 용마산로4길 16,127.0890483,37.55631455
빅베어8,음식,서양식,경양식,서울특별시,광진구,군자동,군자동,서울특별시 광진구 능동로 209,127.0731707,37.55160464
은행나무집,음식,한식,백반/한정식,서울특별시,광진구,광장동,광장동,서울특별시 광진구 아차산로69길 20,127.0985355,37.54294367
소유식당,음식,한식,백반/한정식,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 긴고랑로13길 5,127.0816456,37.56282585
할매순대국,음식,한식,국/탕/찌개류,서울특별시,광진구,광장동,광장동,서울특별시 광진구 광장로 77,127.1056736,37.54788165
히읗히읗,음식,비알코올 ,카페,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자로10길 14-15,127.0715812,37.54836639
귀소,음식,한식,백반/한정식,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 뚝섬로23길 3,127.0635773,37.5368328
하루,음식,한식,백반/한정식,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 구의로 9,127.0891013,37.53894268
카페리브93,음식,비알코올 ,카페,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 구의강변로 93,127.0937302,37.53887017
술마시는뮤직노래방,음식,주점,일반 유흥 주점,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 구의로 72,127.0907095,37.54441545
황제바베큐,음식,한식,돼지고기 구이/찜,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 뚝섬로56길 25,127.0827693,37.53024355
지구상사,음식,주점,생맥주 전문,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로33길 27,127.0702398,37.54156191
더마실카페,음식,비알코올 ,카페,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 긴고랑로 41,127.0808964,37.56300023
이찌방이야기,음식,주점,요리 주점,서울특별시,광진구,화양동,화양동,서울특별시 광진구 동일로22길 57,127.0674419,37.54179214
괴르츠,음식,주점,요리 주점,서울특별시,광진구,광장동,광장동,서울특별시 광진구 아차산로78길 110,127.1101641,37.54997899
몽움,음식,주점,요리 주점,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로25길 24,127.0670384,37.54239266
허씨정통중경마라쌍궈,음식,중식,마라탕/훠궈,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 아차산로30길 17,127.0675785,37.53991002
굽네치킨중곡4동,음식,기타 간이,치킨,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 영화사로 47,127.0919378,37.55603946
주하객잔,음식,중식,중국집,서울특별시,광진구,광장동,광장동,서울특별시 광진구 아차산로78길 170,127.1083211,37.54793772
소문난왕족발,음식,한식,족발/보쌈,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 자양로53길 118,127.088945,37.55736798
서양반주식당,음식,서양식,경양식,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 뚝섬로52가길 16,127.0802703,37.53105308
미식가의1인찜닭1인닭도리,음식,한식,닭/오리고기 구이/찜,서울특별시,광진구,군자동,군자동,서울특별시 광진구 동일로 226,127.0697268,37.55188391
딜란스쿠키,음식,기타 간이,빵/도넛,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로28길 6,127.0845678,37.5423136
가마로강정구의,음식,기타 간이,치킨,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 광나루로 533,127.0888458,37.54505885
브레드하이픈,음식,기타 간이,빵/도넛,서울특별시,광진구,군자동,군자동,서울특별시 광진구 동일로38길 22,127.070585,37.55112477
바라보다,음식,주점,요리 주점,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 면목로 183,127.0828891,37.56942219
중일가든,음식,한식,돼지고기 구이/찜,서울특별시,광진구,광장동,광장동,서울특별시 광진구 아차산로76가길 4,127.1074773,37.54751686
화양대박치킨,음식,기타 간이,치킨,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로29길 75,127.0695859,37.54409772
쿤시,음식,일식,일식 회/초밥,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 용마산로1길 111,127.082649,37.5566885
커피온리,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 광나루로24길 29,127.076769,37.54523536
삼도리치킨,음식,기타 간이,치킨,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 뚝섬로27길 55,127.066501,37.53829763
오고,음식,비알코올 ,카페,서울특별시,광진구,광장동,광장동,서울특별시 광진구 광장로 71-1,127.1050983,37.54772411
본래순대,음식,한식,국/탕/찌개류,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 자양로 53,127.0849134,37.53255787
미주류,음식,주점,요리 주점,서울특별시,광진구,군자동,군자동,서울특별시 광진구 동일로32길 18,127.0691151,37.54919396
최고집풍천장어,음식,한식,해산물 구이/찜,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로51길 79,127.0849959,37.54062294
가현스시,음식,일식,일식 회/초밥,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 광나루로36길 21,127.0866983,37.54391595
전주식당,음식,한식,백반/한정식,서울특별시,광진구,광장동,광장동,서울특별시 광진구 광장로 75-1,127.1055611,37.54782674
우리집,음식,주점,요리 주점,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 구의강변로 86,127.0940224,37.53810651
문가네본가면옥,음식,한식,냉면/밀면,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로51길 92,127.0854662,37.54102304
헬스스낵,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,광장동,광장동,서울특별시 광진구 워커힐로 177,127.1116912,37.55862257
부뚜막,음식,주점,요리 주점,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 능동로37길 17,127.078919,37.55811916
비비앤줄리,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 광나루로56길 29,127.0965143,37.53695423
모츠,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 군자로3길 14,127.0704277,37.54465399
킹프레소,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로19길 35,127.071835,37.54706186
예산국수,음식,한식,국수/칼국수,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 아차산로 262,127.0729442,37.53699681
치킨뱅이,음식,기타 간이,치킨,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 천호대로111길 10,127.08224,37.55681146
대한해물,음식,한식,백반/한정식,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로51길 32,127.0851598,37.53831751
김돈이,음식,한식,돼지고기 구이/찜,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로 397,127.0867077,37.53758162
옹녀,음식,한식,돼지고기 구이/찜,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 자양번영로6길 67,127.0792003,37.53157637
호정개발오페뜨,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로 111,127.0708351,37.54100794
미아리우동집,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 천호대로 677,127.0906998,37.55080384
북촌손만두,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 자양로 113,127.0829585,37.53789496
다인컴패니,음식,일식,일식 회/초밥,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 구의로 32-1,127.0898392,37.5406063
군자생고기,음식,한식,돼지고기 구이/찜,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 천호대로107길 8,127.0786239,37.55818894
컴포즈커피광진,음식,비알코올 ,카페,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로 312,127.0933882,37.55309516
이히리베디히,음식,비알코올 ,카페,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 영화사로 75,127.094275,37.55463375
샐러디,음식,기타 간이,피자,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로 112,127.0836515,37.53766607
야밤또주,음식,주점,요리 주점,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 아차산로 295,127.0759227,37.53862403
궁전,음식,주점,요리 주점,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 자양로13길 26,127.0826298,37.53517123
은지세,음식,기타 간이,빵/도넛,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 능동로41길 6,127.0804704,37.55989731
준하네포차,음식,주점,요리 주점,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 동일로18길 62,127.0660396,37.53899681
다옴순대국감자탕군자점,음식,한식,백반/한정식,서울특별시,광진구,군자동,군자동,서울특별시 광진구 천호대로 546,127.0786481,37.55714391
델트,음식,기타 간이,빵/도넛,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 광나루로54길 83,127.0943892,37.53771286
피자마루중곡,음식,기타 간이,피자,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 용마산로 47,127.0876045,37.55777211
군자교,음식,중식,중국집,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자로 140,127.0749954,37.55414188
명랑핫도그아차산역,음식,기타 간이,빵/도넛,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 천호대로131길 7,127.0905423,37.55165862
안다미로,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 천호대로111길 47,127.0828988,37.55847452
술마켓바,음식,한식,백반/한정식,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 천호대로 515,127.0759442,37.55887982
가장맛있는족발,음식,한식,족발/보쌈,서울특별시,광진구,광장동,광장동,서울특별시 광진구 아차산로76길 25,127.1079459,37.54713295
국민냉면,음식,한식,냉면/밀면,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 자양로43길 47,127.0901342,37.55264663
동경에서먹었던규동,음식,일식,일식 카레/돈가스/덮밥,서울특별시,광진구,군자동,군자동,서울특별시 광진구 광나루로 373,127.0715603,37.54823106
웃웃,음식,주점,일반 유흥 주점,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 뚝섬로 476-15,127.0623723,37.53637272
고공,음식,한식,돼지고기 구이/찜,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 뚝섬로 620-1,127.078548,37.53217499
연길냉면,음식,한식,냉면/밀면,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 동일로18길 86,127.0673366,37.53843939
이디야커피군자역점,음식,비알코올 ,카페,서울특별시,광진구,능동,능동,서울특별시 광진구 능동로 290,127.0789616,37.55557853
청담에프앤비,음식,한식,돼지고기 구이/찜,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 구의강변로 92,127.0941636,37.53859416
덮밥;랍스터를담다,음식,한식,기타 한식 음식점,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 자양번영로2길 26,127.0763551,37.53016653
제이라이브7080,음식,주점,요리 주점,서울특별시,광진구,능동,능동,서울특별시 광진구 천호대로112길 7,127.0815753,37.55564394
산해진미,음식,한식,백반/한정식,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 영화사로 5-6,127.0886143,37.55850075
아차산막국수,음식,한식,국수/칼국수,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로 319,127.0937176,37.55393567
포그니,음식,한식,백반/한정식,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 면목로 109-1,127.0796554,37.56358526
카페인모아,음식,비알코올 ,카페,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 아차산로 292,127.0752702,37.53831257
넌부대난김밥,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 광나루로 606,127.0951032,37.5413676
비어마켓,음식,기타 간이,치킨,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로19길 8,127.0734194,37.54705628
라와마라탕,음식,중식,마라탕/훠궈,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로33길 51-4,127.0706557,37.54270051
참숯바베큐,음식,기타 간이,치킨,서울특별시,광진구,광장동,광장동,서울특별시 광진구 천호대로 808,127.1027197,37.54506598
컴포즈커피,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로13길 30,127.0705792,37.54339371
영각,음식,중식,중국집,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 면목로 56,127.0775396,37.55891933
하동우렁추어탕,음식,한식,국/탕/찌개류,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로 277,127.0910847,37.55079779
백쉐프초밥가게,음식,일식,일식 회/초밥,서울특별시,광진구,화양동,화양동,서울특별시 광진구 광나루로 410,127.0750326,37.54655533
두남,음식,한식,백반/한정식,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로31길 17,127.069523,37.54187163
성수완당,음식,한식,백반/한정식,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로51길 4,127.0854211,37.53731036
와9이닭,음식,기타 간이,치킨,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 자양로13나길 34,127.0795142,37.53457031
락진푸드,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자로 83,127.0708858,37.55059552
금밥이레,음식,한식,백반/한정식,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로 206,127.0860562,37.54553287
에이미스,음식,비알코올 ,카페,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 강변역로 2,127.0899419,37.53774175
블루,음식,주점,요리 주점,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로25길 15,127.0667022,37.54212869
체리커피,음식,비알코올 ,카페,서울특별시,광진구,능동,능동,서울특별시 광진구 능동로 284,127.0787067,37.55514404
어블리,음식,비알코올 ,카페,서울특별시,광진구,군자동,군자동,서울특별시 광진구 천호대로 516,127.0756682,37.55831901
초지일관홍대리,음식,주점,요리 주점,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 아차산로34길 7,127.0696852,37.53974643
미가유황오리,음식,한식,돼지고기 구이/찜,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 동일로76길 63,127.0820786,37.56812739
군자산책,음식,한식,백반/한정식,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 능동로44길 41,127.0838727,37.56027517
별과음악사이,음식,주점,요리 주점,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 긴고랑로 50,127.0816518,37.56232131
피치랑,음식,기타 간이,피자,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 아차산로40길 55,127.0778099,37.53515171
팬시,음식,비알코올 ,카페,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 동일로 411,127.0778663,37.56731065
스칼렛,음식,주점,요리 주점,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로51길 36,127.0851009,37.53850628
스시노칸도어린이대공원역점,음식,일식,일식 회/초밥,서울특별시,광진구,군자동,군자동,서울특별시 광진구 광나루로 369,127.0710369,37.54845221
킹리,음식,주점,요리 주점,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로57길 10-1,127.0883764,37.53900016
송파족발,음식,한식,족발/보쌈,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 아차산로 431,127.0901686,37.53864455
코후쿠행복,음식,주점,요리 주점,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로29길 24,127.0686514,37.5419008
커피나무어린이대공원역점,음식,비알코올 ,카페,서울특별시,광진구,군자동,군자동,서울특별시 광진구 광나루로19길 38,127.0732102,37.5493343
비엔나커피하우스건대스타시티점,음식,비알코올 ,카페,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 능동로 92,127.0711996,37.53899245
경복궁퍼시픽스타,음식,한식,백반/한정식,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 능동로 90,127.070902,37.53835036
커피타다,음식,비알코올 ,카페,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로28길 19,127.0853716,37.54228379
플랫카페,음식,비알코올 ,카페,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로23길 73,127.0836809,37.54358621
뚱배,음식,주점,요리 주점,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 긴고랑로 25,127.0792826,37.56352829
진짜곱창,음식,한식,곱창 전골/구이,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로22길 33,127.0851653,37.5397232
멕시카나,음식,기타 간이,치킨,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로 254,127.0896494,37.54876838
카페수달하다,음식,비알코올 ,카페,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 동일로62길 14,127.0748929,37.55969155
가츠시,음식,일식,일식 회/초밥,서울특별시,광진구,화양동,화양동,서울특별시 광진구 광나루로 418,127.0757027,37.54636235
프랭크버거,음식,기타 간이,버거,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 뚝섬로 595,127.0761819,37.53320172
셰프케이,음식,서양식,경양식,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 천호대로127길 22,127.0900309,37.55370007
후토,음식,주점,요리 주점,서울특별시,광진구,화양동,화양동,서울특별시 광진구 동일로24길 98,127.0702303,37.54232773
