gu_name,cluster,order,latitude,longitude
광진구,0,0,37.5375813,127.0938987
광진구,0,1,37.53672416780472,127.09518481870752
광진구,0,2,37.5339173,127.0935856
광진구,0,3,37.53773708676208,127.08954676070177
광진구,0,4,37.53246659577109,127.08919413457195
광진구,0,5,37.538519,127.088797
광진구,0,6,37.532993444437786,127.09261953461368
광진구,0,7,37.5361633,127.0925797
광진구,0,8,37.5361633,127.0925797
광진구,0,9,37.5361633,127.0925797
광진구,0,10,37.5425096,127.0977483
광진구,0,11,37.5431583,127.1041888
광진구,0,12,37.5458615,127.1029348
광진구,0,13,37.5458615,127.1029348
광진구,0,14,37.54552724996644,127.10361007920686
광진구,0,15,37.54636,127.1077347
광진구,0,16,37.5431583,127.1041888
광진구,0,17,37.5422975,127.0843878
광진구,0,18,37.5382756,127.0878682
광진구,0,19,37.5444761,127.0897654
광진구,0,20,37.5450728,127.0888643
광진구,0,21,37.5450728,127.0888643
광진구,0,22,37.5339173,127.0935856
광진구,0,23,37.539418,127.0946115
광진구,0,24,37.5339173,127.0935856
광진구,0,25,37.5425096,127.0977483
광진구,0,26,37.5422975,127.0843878
광진구,0,27,37.54858249999999,127.0926411
광진구,0,28,37.54885082562093,127.09395210432146
광진구,0,29,37.54882967428932,127.08935548156434
광진구,0,30,37.54541414852059,127.08579587503468
광진구,0,31,37.5444761,127.0897654
광진구,0,32,37.539418,127.0946115
광진구,0,33,37.5361633,127.0925797
광진구,0,34,37.5419395,127.0996713
광진구,0,35,37.5437521,127.0940114
광진구,0,36,37.5378422,127.0898161
광진구,0,37,37.54858249999999,127.0926411
광진구,0,38,37.54470560374352,127.09759130294655
광진구,0,39,37.54775122260231,127.10655115116968
광진구,0,40,37.5478084,127.106495
광진구,0,41,37.55304974232156,127.10973124618012
광진구,0,42,37.5496573,127.1088714
광진구,0,43,37.5437521,127.0940114
광진구,0,44,37.54159733163217,127.10125080136427
광진구,0,45,37.5353816,127.0945451
광진구,0,46,37.5361633,127.0925797
광진구,0,47,37.5361633,127.0925797
광진구,0,48,37.5361633,127.0925797
광진구,0,49,37.5391792,127.0978953
광진구,0,50,37.5339173,127.0935856
광진구,0,51,37.5339173,127.0935856
광진구,0,52,37.5353816,127.0945451
광진구,0,53,37.5361633,127.0925797
광진구,0,54,37.5361633,127.0925797
광진구,0,55,37.5353816,127.0945451
광진구,1,0,37.5547172,127.0867718
광진구,1,1,37.55924350387619,127.0879059162206
광진구,1,2,37.5559902,127.0815112
광진구,1,3,37.56611080935677,127.07771797303002
광진구,1,4,37.56873519451711,127.08571318590153
광진구,1,5,37.56337266594047,127.08705627081396
광진구,1,6,37.5547172,127.0867718
광진구,1,7,37.554252,127.0863486
광진구,1,8,37.55273129736205,127.08891059058044
광진구,1,9,37.5557285497916,127.09208632753352
광진구,1,10,37.554252,127.0863486
광진구,1,11,37.5628897,127.0799536
광진구,1,12,37.56330073135852,127.0790940629269
광진구,1,13,37.56147776685714,127.09574112240752
광진구,1,14,37.557997,127.0875794
광진구,1,15,37.55926191824568,127.08049340666554
광진구,1,16,37.5521509,127.0773761
광진구,1,17,37.55470855236315,127.07128093594484
광진구,1,18,37.5527854,127.0767872
광진구,1,19,37.550113,127.0771058
광진구,1,20,37.55129892322455,127.0762801515166
광진구,1,21,37.5564322,127.0826217
광진구,1,22,37.56090955545349,127.08506412967743
광진구,1,23,37.5509,127.0892347
광진구,1,24,37.5509,127.0892347
광진구,1,25,37.5509,127.0892347
광진구,1,26,37.5500836,127.0903872
광진구,1,27,37.5509,127.0892347
광진구,1,28,37.55911992524983,127.07515215028114
광진구,1,29,37.5586069,127.0748087
광진구,1,30,37.5590141,127.0757425
광진구,1,31,37.562471673822415,127.07562002225178
광진구,1,32,37.5590141,127.0757425
광진구,1,33,37.5559924,127.0812245
광진구,1,34,37.5564322,127.0826217
광진구,1,35,37.554252,127.0863486
광진구,1,36,37.554252,127.0863486
광진구,1,37,37.5530854,127.0704544
광진구,1,38,37.5521509,127.0773761
광진구,1,39,37.5527854,127.0767872
광진구,1,40,37.5547694,127.08465
광진구,1,41,37.5547694,127.08465
광진구,1,42,37.557997,127.0875794
광진구,1,43,37.5495886,127.081578
광진구,1,44,37.5495886,127.081578
광진구,1,45,37.5639732,127.0765892
광진구,1,46,37.55866350431848,127.092200233168
광진구,1,47,37.554252,127.0863486
광진구,1,48,37.55604178548106,127.08300744478169
광진구,1,49,37.5559902,127.0815112
광진구,1,50,37.5551319876065,127.07818323379978
광진구,1,51,37.5586069,127.0748087
광진구,1,52,37.5623337,127.0871851
광진구,1,53,37.56239670000001,127.0826701
광진구,1,54,37.56517212793938,127.08399696501397
광진구,2,0,37.54105595105475,127.06770012103856
광진구,2,1,37.538976210271,127.06234874838631
광진구,2,2,37.535837171412496,127.06613997037256
광진구,2,3,37.5349887,127.0637485
광진구,2,4,37.53297759633118,127.06861037749454
광진구,2,5,37.53619,127.0694554
광진구,2,6,37.53619,127.0694554
광진구,2,7,37.53978366146738,127.07173398805035
광진구,2,8,37.5345981,127.0691877
광진구,2,9,37.529939903626136,127.07459046142202
광진구,2,10,37.53387953482245,127.07319984107116
광진구,2,11,37.5344086,127.0755737
광진구,2,12,37.532659,127.0768616
광진구,2,13,37.5327013,127.0758253
광진구,2,14,37.5384966181857,127.0748379649122
광진구,2,15,37.53744000891335,127.0791101335134
광진구,2,16,37.5324649,127.0790709
광진구,2,17,37.5361988,127.0831787
광진구,2,18,37.5384193,127.0824491
광진구,2,19,37.5361988,127.0831787
광진구,2,20,37.53212347785617,127.0790966124798
